"site_code","species_code","measurement_start_utc","measurement_end_utc","value"
"EA6","PM10","2021-03-10 07:00:00","2021-03-10 08:00:00",47.6
"EA8","NO2","2021-03-09 06:00:00","2021-03-09 07:00:00",55.7
"EA8","NO2","2021-03-14 18:00:00","2021-03-14 19:00:00",11.9
"EA8","PM10","2021-03-15 15:00:00","2021-03-15 16:00:00",43
"EA8","NO2","2021-03-15 17:00:00","2021-03-15 18:00:00",47.2
"EA6","NO2","2021-03-12 00:00:00","2021-03-12 01:00:00",21.8
"EA8","NO2","2021-03-14 23:00:00","2021-03-15 00:00:00",9.3
"EA8","NO2","2021-03-15 23:00:00","2021-03-16 00:00:00",32.5
"EA8","PM10","2021-03-14 23:00:00","2021-03-15 00:00:00",12
"EA8","NO2","2021-03-15 14:00:00","2021-03-15 15:00:00",38.5
"EA8","NO2","2021-03-15 20:00:00","2021-03-15 21:00:00",50.5
"EA6","NO2","2021-03-12 19:00:00","2021-03-12 20:00:00",57.1
"EA8","NO2","2021-03-15 07:00:00","2021-03-15 08:00:00",53
"EA8","NO2","2021-03-13 23:00:00","2021-03-14 00:00:00",18.2
"ME9","NO2","2021-03-15 21:00:00","2021-03-15 22:00:00",NULL
"EA6","NO2","2021-03-08 15:00:00","2021-03-08 16:00:00",81.6
"EA8","NO2","2021-03-15 18:00:00","2021-03-15 19:00:00",58.5
"EA8","PM10","2021-03-15 10:00:00","2021-03-15 11:00:00",22
"EA8","NO2","2021-03-13 20:00:00","2021-03-13 21:00:00",23.8
"EA8","NO2","2021-03-14 03:00:00","2021-03-14 04:00:00",5.3
"EA8","NO2","2021-03-14 21:00:00","2021-03-14 22:00:00",16.2
"EA8","NO2","2021-03-15 16:00:00","2021-03-15 17:00:00",46
"EA8","NO2","2021-03-15 06:00:00","2021-03-15 07:00:00",28.5
"EA6","NO2","2021-03-12 23:00:00","2021-03-13 00:00:00",33.6
"EA8","PM10","2021-03-14 19:00:00","2021-03-14 20:00:00",10
"EA8","PM10","2021-03-15 08:00:00","2021-03-15 09:00:00",22
"EA8","NO2","2021-03-15 15:00:00","2021-03-15 16:00:00",38.9
"EA8","PM10","2021-03-09 00:00:00","2021-03-09 01:00:00",33
"EA8","NO2","2021-03-13 22:00:00","2021-03-13 23:00:00",20.5
"EA8","PM10","2021-03-15 05:00:00","2021-03-15 06:00:00",14
"EA8","NO2","2021-03-15 10:00:00","2021-03-15 11:00:00",26
"EA8","PM10","2021-03-09 11:00:00","2021-03-09 12:00:00",70
"EA8","PM10","2021-03-15 14:00:00","2021-03-15 15:00:00",18
"EA8","NO2","2021-03-15 09:00:00","2021-03-15 10:00:00",35.8
"EA8","NO2","2021-03-13 08:00:00","2021-03-13 09:00:00",18.6
"EA8","NO2","2021-03-14 22:00:00","2021-03-14 23:00:00",14.4
"EA8","PM10","2021-03-10 21:00:00","2021-03-10 22:00:00",7
"EA8","PM10","2021-03-14 17:00:00","2021-03-14 18:00:00",19
"EA8","NO2","2021-03-15 22:00:00","2021-03-15 23:00:00",28.9
"EA8","NO2","2021-03-09 04:00:00","2021-03-09 05:00:00",21.2
"HP1","NO2","2021-03-08 12:00:00","2021-03-08 13:00:00",NULL
"EA8","PM10","2021-03-15 17:00:00","2021-03-15 18:00:00",39
"EA8","NO2","2021-03-15 05:00:00","2021-03-15 06:00:00",14
"EA8","NO2","2021-03-14 12:00:00","2021-03-14 13:00:00",10.3
"EA8","NO2","2021-03-12 23:00:00","2021-03-13 00:00:00",10.9
"EA6","PM10","2021-03-11 21:00:00","2021-03-11 22:00:00",10.2
"EA8","NO2","2021-03-15 02:00:00","2021-03-15 03:00:00",12.3
"EA8","PM10","2021-03-14 20:00:00","2021-03-14 21:00:00",14
"EA8","PM10","2021-03-14 05:00:00","2021-03-14 06:00:00",6
"EA8","NO2","2021-03-11 03:00:00","2021-03-11 04:00:00",11.2
"EA8","PM10","2021-03-15 22:00:00","2021-03-15 23:00:00",27
"EA8","PM10","2021-03-14 11:00:00","2021-03-14 12:00:00",16
"EI8","PM10","2021-03-09 01:00:00","2021-03-09 02:00:00",25.1
"EA8","PM10","2021-03-10 13:00:00","2021-03-10 14:00:00",13
"EA8","NO2","2021-03-14 04:00:00","2021-03-14 05:00:00",6
"EA8","NO2","2021-03-13 10:00:00","2021-03-13 11:00:00",9.8
"EA8","PM10","2021-03-15 21:00:00","2021-03-15 22:00:00",29
"EA8","PM10","2021-03-15 11:00:00","2021-03-15 12:00:00",27
"EA8","NO2","2021-03-11 12:00:00","2021-03-11 13:00:00",19.8
"EA8","NO2","2021-03-11 16:00:00","2021-03-11 17:00:00",25
"EA8","NO2","2021-03-15 11:00:00","2021-03-15 12:00:00",30.4
"EA8","NO2","2021-03-14 19:00:00","2021-03-14 20:00:00",13.7
"EA8","NO2","2021-03-14 14:00:00","2021-03-14 15:00:00",11.6
"EA8","PM10","2021-03-11 14:00:00","2021-03-11 15:00:00",30
"EA8","NO2","2021-03-14 01:00:00","2021-03-14 02:00:00",9.5
"EA8","NO2","2021-03-15 01:00:00","2021-03-15 02:00:00",11.9
"EA8","PM10","2021-03-14 13:00:00","2021-03-14 14:00:00",13
"EA8","NO2","2021-03-13 21:00:00","2021-03-13 22:00:00",20.9
"EA6","NO2","2021-03-08 20:00:00","2021-03-08 21:00:00",109.9
"EA8","PM10","2021-03-15 02:00:00","2021-03-15 03:00:00",9
"EA6","PM10","2021-03-12 15:00:00","2021-03-12 16:00:00",20.7
"EA8","NO2","2021-03-13 19:00:00","2021-03-13 20:00:00",28.4
"EA8","PM10","2021-03-15 06:00:00","2021-03-15 07:00:00",22
"EA8","PM10","2021-03-10 09:00:00","2021-03-10 10:00:00",37
"EA8","NO2","2021-03-15 03:00:00","2021-03-15 04:00:00",10.7
"EA8","PM10","2021-03-15 19:00:00","2021-03-15 20:00:00",44
"EA8","NO2","2021-03-14 20:00:00","2021-03-14 21:00:00",18.1
"EA8","PM10","2021-03-13 03:00:00","2021-03-13 04:00:00",15
"EA8","NO2","2021-03-10 02:00:00","2021-03-10 03:00:00",12.4
"EA8","PM10","2021-03-11 05:00:00","2021-03-11 06:00:00",28
"EA8","PM10","2021-03-14 02:00:00","2021-03-14 03:00:00",10
"EA6","NO2","2021-03-08 01:00:00","2021-03-08 02:00:00",80.3
"EA8","PM10","2021-03-15 04:00:00","2021-03-15 05:00:00",11
"EA8","NO2","2021-03-15 21:00:00","2021-03-15 22:00:00",39.5
"EA8","PM10","2021-03-14 16:00:00","2021-03-14 17:00:00",15
"EA8","PM10","2021-03-15 13:00:00","2021-03-15 14:00:00",20
"EA8","NO2","2021-03-12 10:00:00","2021-03-12 11:00:00",28.2
"EA8","NO2","2021-03-14 09:00:00","2021-03-14 10:00:00",10.3
"EA8","PM10","2021-03-14 14:00:00","2021-03-14 15:00:00",17
"EA8","PM10","2021-03-15 23:00:00","2021-03-16 00:00:00",30
"EA8","NO2","2021-03-09 01:00:00","2021-03-09 02:00:00",30.2
"EA8","PM10","2021-03-14 00:00:00","2021-03-14 01:00:00",13
"EA8","NO2","2021-03-11 08:00:00","2021-03-11 09:00:00",21.2
"EA8","NO2","2021-03-11 01:00:00","2021-03-11 02:00:00",6.5
"BX1","CO","2021-03-12 03:00:00","2021-03-12 04:00:00",NULL
"EA8","NO2","2021-03-14 13:00:00","2021-03-14 14:00:00",9
"EA8","PM10","2021-03-14 07:00:00","2021-03-14 08:00:00",3
"EA8","PM10","2021-03-14 10:00:00","2021-03-14 11:00:00",14
"EA8","NO2","2021-03-13 17:00:00","2021-03-13 18:00:00",10.6
"EA8","PM10","2021-03-15 03:00:00","2021-03-15 04:00:00",7
"EA8","PM10","2021-03-10 18:00:00","2021-03-10 19:00:00",7
"EA8","NO2","2021-03-13 00:00:00","2021-03-13 01:00:00",9.8
"EA8","NO2","2021-03-14 10:00:00","2021-03-14 11:00:00",13.8
"EA8","PM10","2021-03-15 01:00:00","2021-03-15 02:00:00",11
"EA8","PM10","2021-03-15 07:00:00","2021-03-15 08:00:00",23
"EA8","PM10","2021-03-13 20:00:00","2021-03-13 21:00:00",14
"EA8","PM10","2021-03-13 10:00:00","2021-03-13 11:00:00",13
"EA8","NO2","2021-03-15 13:00:00","2021-03-15 14:00:00",34.5
"EA8","NO2","2021-03-14 00:00:00","2021-03-14 01:00:00",11.9
"EA8","PM10","2021-03-14 12:00:00","2021-03-14 13:00:00",13
"BX1","NO2","2021-03-12 21:00:00","2021-03-12 22:00:00",7.8
"EA8","PM10","2021-03-15 20:00:00","2021-03-15 21:00:00",36
"EA8","PM10","2021-03-15 18:00:00","2021-03-15 19:00:00",40
"EA8","PM10","2021-03-14 04:00:00","2021-03-14 05:00:00",7
"EA8","PM10","2021-03-12 09:00:00","2021-03-12 10:00:00",11
"EA6","NO2","2021-03-11 14:00:00","2021-03-11 15:00:00",29.9
"EA8","PM10","2021-03-14 08:00:00","2021-03-14 09:00:00",8
"EA8","PM10","2021-03-11 12:00:00","2021-03-11 13:00:00",59
"EI8","PM10","2021-03-15 12:00:00","2021-03-15 13:00:00",13.5
"EA8","PM10","2021-03-14 15:00:00","2021-03-14 16:00:00",9
"EA8","NO2","2021-03-14 02:00:00","2021-03-14 03:00:00",7.9
"EA8","PM10","2021-03-13 21:00:00","2021-03-13 22:00:00",14
"EA8","PM10","2021-03-12 05:00:00","2021-03-12 06:00:00",15
"EA8","PM10","2021-03-10 05:00:00","2021-03-10 06:00:00",31
"EA8","PM10","2021-03-14 18:00:00","2021-03-14 19:00:00",10
"EA8","NO2","2021-03-15 12:00:00","2021-03-15 13:00:00",35.2
"EA8","NO2","2021-03-13 02:00:00","2021-03-13 03:00:00",16.8
"EA8","NO2","2021-03-15 19:00:00","2021-03-15 20:00:00",67.8
"EA8","PM10","2021-03-09 06:00:00","2021-03-09 07:00:00",43
"EA8","NO2","2021-03-14 07:00:00","2021-03-14 08:00:00",12.5
"EI8","PM10","2021-03-15 13:00:00","2021-03-15 14:00:00",10.6
"EA6","PM10","2021-03-12 19:00:00","2021-03-12 20:00:00",15.2
"EA8","NO2","2021-03-11 00:00:00","2021-03-11 01:00:00",8.4
"EA8","NO2","2021-03-15 00:00:00","2021-03-15 01:00:00",6.9
"EA8","NO2","2021-03-14 15:00:00","2021-03-14 16:00:00",15.7
"EA8","PM10","2021-03-13 18:00:00","2021-03-13 19:00:00",17
"EA6","NO2","2021-03-10 10:00:00","2021-03-10 11:00:00",59.7
"EA8","NO2","2021-03-14 06:00:00","2021-03-14 07:00:00",8.4
"EA8","NO2","2021-03-11 14:00:00","2021-03-11 15:00:00",22.4
"EI8","PM10","2021-03-15 04:00:00","2021-03-15 05:00:00",8.2
"EI8","PM10","2021-03-15 14:00:00","2021-03-15 15:00:00",12.4
"EA8","PM10","2021-03-13 19:00:00","2021-03-13 20:00:00",15
"EA8","NO2","2021-03-14 17:00:00","2021-03-14 18:00:00",14.9
"EA8","PM10","2021-03-13 22:00:00","2021-03-13 23:00:00",14
"EA6","PM10","2021-03-11 07:00:00","2021-03-11 08:00:00",13.4
"EA8","NO2","2021-03-14 16:00:00","2021-03-14 17:00:00",18.2
"EA8","PM10","2021-03-10 11:00:00","2021-03-10 12:00:00",19
"EA8","NO2","2021-03-09 02:00:00","2021-03-09 03:00:00",24.9
"EA8","PM10","2021-03-14 09:00:00","2021-03-14 10:00:00",6
"EA8","PM10","2021-03-14 22:00:00","2021-03-14 23:00:00",18
"EA8","PM10","2021-03-14 21:00:00","2021-03-14 22:00:00",14
"EA8","NO2","2021-03-14 11:00:00","2021-03-14 12:00:00",13.4
"EA8","NO2","2021-03-12 21:00:00","2021-03-12 22:00:00",17.7
"EI8","PM10","2021-03-15 05:00:00","2021-03-15 06:00:00",7
"EA8","PM10","2021-03-10 01:00:00","2021-03-10 02:00:00",24
"EI8","PM10","2021-03-15 03:00:00","2021-03-15 04:00:00",9.8
"EA8","PM10","2021-03-15 12:00:00","2021-03-15 13:00:00",14
"EA8","NO2","2021-03-15 04:00:00","2021-03-15 05:00:00",8.2
"EA8","PM10","2021-03-14 01:00:00","2021-03-14 02:00:00",10
"EA8","NO2","2021-03-12 08:00:00","2021-03-12 09:00:00",35.4
"EI8","PM10","2021-03-15 22:00:00","2021-03-15 23:00:00",21.3
"EI8","PM10","2021-03-15 19:00:00","2021-03-15 20:00:00",38.7
"EA6","NO2","2021-03-08 03:00:00","2021-03-08 04:00:00",65
"EA6","NO2","2021-03-12 07:00:00","2021-03-12 08:00:00",77.6
"EA8","PM10","2021-03-14 03:00:00","2021-03-14 04:00:00",8
"EA8","NO2","2021-03-14 08:00:00","2021-03-14 09:00:00",10.4
"EA8","NO2","2021-03-13 18:00:00","2021-03-13 19:00:00",18.4
"EA8","NO2","2021-03-11 21:00:00","2021-03-11 22:00:00",15.8
"EA8","PM10","2021-03-11 08:00:00","2021-03-11 09:00:00",52
"EI8","PM10","2021-03-14 23:00:00","2021-03-15 00:00:00",8.3
"EI8","PM10","2021-03-14 18:00:00","2021-03-14 19:00:00",7.5
"BQ9","PM1","2021-03-09 00:00:00","2021-03-09 01:00:00",28.2
"EI8","PM10","2021-03-15 23:00:00","2021-03-16 00:00:00",22
"EA8","NO2","2021-03-10 14:00:00","2021-03-10 15:00:00",37.3
"EA8","PM10","2021-03-15 00:00:00","2021-03-15 01:00:00",9
"EA8","PM10","2021-03-14 06:00:00","2021-03-14 07:00:00",4
"EI8","PM10","2021-03-15 20:00:00","2021-03-15 21:00:00",29.3
"EA8","PM10","2021-03-13 23:00:00","2021-03-14 00:00:00",14
"EI8","PM10","2021-03-15 16:00:00","2021-03-15 17:00:00",37.3
